               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.013705,           0.0097171,           0.0034973,             0.97038,             0.98204,             0.99065,             0.90745,           0.0051254,           0.0031254,          8.1335e-05,           0.0034413,           0.0034413,           0.0034413
                  55,            0.013127,           0.0096174,           0.0032051,             0.97061,             0.98062,             0.99042,             0.91018,           0.0050674,           0.0031145,          7.8406e-05,           0.0033175,           0.0033175,           0.0033175
                  56,            0.013497,           0.0096721,           0.0030606,             0.96909,             0.98215,             0.99063,             0.90977,           0.0050204,           0.0030887,          7.4274e-05,           0.0031938,           0.0031938,           0.0031938
                  57,            0.013486,           0.0095759,           0.0028411,             0.96784,             0.98462,             0.99046,             0.91201,           0.0049518,           0.0030748,          7.8183e-05,             0.00307,             0.00307,             0.00307
                  58,            0.013791,           0.0097439,           0.0031719,             0.97135,             0.97994,             0.98946,             0.90969,           0.0049821,           0.0031039,          8.4375e-05,           0.0029462,           0.0029462,           0.0029462
                  59,            0.013239,            0.009498,           0.0030303,             0.96895,             0.98376,             0.99049,             0.91233,           0.0049682,           0.0030563,          9.1385e-05,           0.0028225,           0.0028225,           0.0028225
                  60,            0.012972,           0.0094573,           0.0028545,             0.96959,             0.98585,             0.99065,              0.9121,           0.0049838,           0.0030528,          8.1518e-05,           0.0026987,           0.0026987,           0.0026987
                  61,            0.012845,           0.0094074,           0.0027454,             0.96826,             0.98432,             0.99061,             0.91296,           0.0049972,           0.0030442,          7.9136e-05,            0.002575,            0.002575,            0.002575
                  62,            0.013095,           0.0094382,           0.0025607,             0.96737,             0.98808,             0.99044,             0.91434,           0.0049444,           0.0030278,          8.0624e-05,           0.0024513,           0.0024513,           0.0024513
                  63,               0.013,           0.0094195,           0.0031284,             0.96759,             0.98838,             0.99081,             0.91628,           0.0049581,           0.0030131,          7.1276e-05,           0.0023275,           0.0023275,           0.0023275
                  64,            0.012393,           0.0093534,           0.0029134,             0.96808,             0.98678,             0.99015,              0.9157,           0.0049542,           0.0030243,          7.7119e-05,           0.0022038,           0.0022038,           0.0022038
                  65,            0.012628,           0.0094282,            0.002738,             0.97194,             0.98514,             0.99033,             0.91671,           0.0049574,            0.003022,          6.9247e-05,             0.00208,             0.00208,             0.00208
                  66,            0.012293,            0.009156,           0.0023547,             0.97049,             0.98782,             0.99024,             0.91766,           0.0049236,           0.0030207,          7.1409e-05,           0.0019563,           0.0019563,           0.0019563
                  67,            0.012512,           0.0091548,           0.0023149,             0.97306,             0.98907,             0.99113,             0.91989,            0.004904,           0.0029927,          6.4986e-05,           0.0018325,           0.0018325,           0.0018325
                  68,            0.012493,           0.0092561,           0.0024523,             0.97347,              0.9867,             0.99109,             0.92011,           0.0049049,           0.0029932,          5.4248e-05,           0.0017087,           0.0017087,           0.0017087
                  69,             0.01207,           0.0091743,            0.002111,             0.97387,             0.98637,             0.99118,             0.91912,           0.0048877,           0.0029843,          4.8713e-05,            0.001585,            0.001585,            0.001585
                  70,              0.0119,           0.0089371,           0.0020984,              0.9752,               0.986,             0.99151,             0.92047,           0.0048666,           0.0029755,          4.8059e-05,           0.0014612,           0.0014612,           0.0014612
                  71,            0.012326,           0.0090039,           0.0023171,             0.97604,             0.98379,             0.99146,             0.91953,           0.0048731,           0.0029781,          4.5306e-05,           0.0013375,           0.0013375,           0.0013375
                  72,             0.01213,           0.0092474,           0.0023397,             0.97373,             0.98623,             0.99147,             0.91935,           0.0048763,           0.0029682,           4.118e-05,           0.0012138,           0.0012138,           0.0012138
                  73,            0.011923,           0.0089888,           0.0023299,             0.97437,             0.98656,              0.9911,             0.91897,           0.0048843,           0.0029735,          3.7467e-05,             0.00109,             0.00109,             0.00109
                  74,            0.011753,           0.0089246,           0.0023374,             0.97333,             0.98692,             0.99102,             0.91886,           0.0048931,           0.0029706,          3.6757e-05,          0.00096625,          0.00096625,          0.00096625
                  75,            0.011445,           0.0088347,           0.0021301,             0.97369,             0.98726,             0.99097,             0.91934,            0.004891,           0.0029618,          3.5643e-05,           0.0008425,           0.0008425,           0.0008425
                  76,            0.011625,           0.0089563,           0.0021288,             0.97524,              0.9853,             0.99108,             0.91978,           0.0048914,           0.0029591,          3.5888e-05,          0.00071875,          0.00071875,          0.00071875
                  77,             0.01128,           0.0088233,           0.0018314,             0.97493,             0.98549,              0.9911,             0.91998,           0.0048789,           0.0029583,          3.6392e-05,            0.000595,            0.000595,            0.000595
                  78,            0.011253,           0.0087071,            0.001808,             0.97541,             0.98472,             0.99104,             0.92062,           0.0048702,           0.0029577,          3.4968e-05,          0.00047125,          0.00047125,          0.00047125
                  79,            0.011139,           0.0087543,           0.0016555,             0.97559,             0.98451,             0.99103,             0.92153,           0.0048689,           0.0029562,          3.5236e-05,           0.0003475,           0.0003475,           0.0003475
